ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202403;GSW;CHAIR AIRLINES;;SUISSE;10646;0;10646
202403;HLF;CHINA CENTRAL AIRLINES;;CHINE;0;1096,9;10969
202403;HVN;VIETNAM AIRLINES;;VIETNAM;27679;1382,7;41506
202403;IBE;IBERIA;;ESPAGNE;121560;149,4;123054
202403;IBS;IBERIA EXPRESS;;ESPAGNE;22132;16;22292
202403;ICE;ICELANDAIR;;ISLANDE;14742;18;14922
202403;ITY;ITALIA TRASPORTO AEREO;;ITALIE;90245;28,1;90526
202403;JAF;TUIFLY BELGIUM;;BELGIQUE;22995;0,1;22996
202403;JAL;JAPAN AIRLINES;;JAPON;12855;945,7;22312
202403;JBU;JETBLUE AIRWAYS CORPORAT;;ETATS-UNIS;11052;11,5;11167
202403;KAC;KUWAIT AIRWAYS;;KOWEIT;10929;746,5;18394
202403;KAL;KOREAN AIR;;COREE DU SUD;19540;1358;33120
202403;KLC;KLM/CITYHOPPER;;PAYS-BAS;30283;0,1;30284
202403;KLM;KLM;;PAYS-BAS;157694;81;158504
202403;KQA;KENYA AIRWAYS;;KENYA;14697;601,4;20711
202403;LBT;NOUVELAIR;;TUNISIE;63461;38,5;63846
202403;LGL;LUXAIR;;LUXEMBOURG;14017;0;14017
202403;LOT;LOT POLISH AIRLINES;;POLOGNE;24691;34,1;25032
202403;MAC;AIR ARABIA MAROC;;MAROC;36055;9,1;36146
202403;MAU;AIR MAURITIUS;;MAURICE;42375;1149,3;53868
202403;MEA;MIDDLE EAST AIRLINES;;LIBAN;13517;360,2;17119
202403;MSR;EGYPT AIR;;EGYPTE;16025;623,3;22258
202403;NBT;NORSE ATLANTIC AIRWAYS;;NORVEGE;10704;316;13864
202403;NOZ;NORWEGIAN AIR SHUTTLE AOC AS;;NORVEGE;13701;0,6;13707
202403;NSZ;NORWEGIAN AIR SWEDEN AOC;;SUEDE;27695;0;27695
202403;OMA;OMAN AIR;;OMAN;11244;902,2;20266
202403;PGT;PEGASUS;;TURQUIE;82725;61,5;83340
202403;QTR;QATAR AIRWAYS;;QATAR;83425;8421,6;167641
202403;RAM;ROYAL AIR MAROC;;MAROC;108332;188,6;110218
202403;REU;AIR AUSTRAL;;FRANCE (OM);87355;1188,1;99236
202403;RJA;ROYAL JORDANIAN;;JORDANIE;11876;121;13086
202403;ROT;TAROM;;ROUMANIE;13086;22,2;13308
202403;ROU;AIR CANADA ROUGE;;CANADA;14985;10,5;15090
202403;RYR;RYANAIR;;IRLANDE;1081826;15,8;1081984
202403;SAS;SAS;;SUEDE;56836;23,9;57075
202403;SEH;SKY EXPRESS;;GRECE;11191;1,1;11202
202403;SIA;SINGAPORE AIRLINES;;SINGAPOUR;24573;1819,9;42772
202403;SRR;STAR AIR DANEMARK;;DANEMARK;0;4558,6;45586
202403;SVA;SAUDIA;;ARABIE SAOUDITE;27878;1333,9;41217
202403;SWR;SWISS;;SUISSE;52046;172,8;53774
202403;SWT;SWIFTAIR ESPAGNE;;ESPAGNE;8;1987,1;19879
202403;SXS;SUNEXPRESS;;TURQUIE;15708;0,6;15714
202403;SZN;AIR SENEGAL;;SENEGAL;13526;419,5;17721
202403;TAM;TAM/BRASIL;;BRESIL;16373;687,7;23250
202403;TAP;TAP AIR PORTUGAL;;PORTUGAL;121601;68,4;122285
202403;TAR;TUNISAIR;;TUNISIE;78083;169,8;79781
202403;THA;THAI AIRWAYS INTL;;THAILANDE;19149;751,3;26662
202403;THT;AIR TAHITI NUI;;FRANCE (OM);29077;787,9;36956
202403;THY;TURKISH AIRLINES;;TURQUIE;171680;3164,2;203322
202403;TOM;TUI AIRWAYS;;ROYAUME-UNI;37295;18,9;37484
202403;TPC;AIR CALEDONIE;;FRANCE (OM);30248;135,2;31600
202403;TRA;TRANSAVIA PAYS BAS;;PAYS-BAS;12111;0;12111
202403;TSC;AIR TRANSAT;;CANADA;37805;59,7;38402
202403;TVF;TRANSAVIA FRANCE;;FRANCE;856557;0;856557
202403;UAE;EMIRATES;;EMIRATS ARABES UNIS;111457;4810,8;159565
202403;UAL;UNITED AIRLINES;;ETATS-UNIS;66397;2606,2;92459
202403;UPS;UPS AIRLINES;;ETATS-UNIS;0;2680,3;26803
202403;VLG;VUELING AIRLINES;;ESPAGNE;517502;2;517522
202403;VOE;VOLOTEA;;ESPAGNE;248897;0;248897
202403;VTA;AIR TAHITI;;FRANCE (OM);72481;165;74131
202403;VTI;VISTARA;;INDE;12405;587,2;18277
202403;WIA;WINAIR (ANTILLES);;PAYS-BAS (ANTILLES);10026;0;10026
202403;WJA;WESTJET;;CANADA;10436;110,8;11544
202403;WMT;WIZZ AIR MALTA;;MALTE;138215;0;138215
202403;WUK;WIZZ AIR UK;;ROYAUME-UNI;14463;0;14463
202403;WZZ;WIZZ AIR;;HONGRIE;130560;0;130560
202403;ZZE; AUTRES CIE (E);;_ZZ_E;233624;6292,7;296551
202403;ZZF; AUTRES CIE (F);;_ZZ_F;51823;287,2;54695
202404;AAL;AMERICAN AIRLINES;;ETATS-UNIS;56272;1880,5;75077
202404;AAR;ASIANA AIRLINES;;COREE DU SUD;14507;410;18607
